date,1.8.0,1.8.1,1.8.2,2.8.0,2.8.1,2.8.2
3/2021,0,0,0,0,0,0
4/2021,226,88,138,354,198,156
5/2021,286,102,184,461,259,203
6/2021,305,113,191,576,317,259
7/2021,376,137,235,507,295,212
8/2021,333,158,179,362,184,178
9/2021,343,139,204,329,184,145
10/2021,239,91,149,272,124,148
11/2021,290,122,168,71,36,35
12/2021,354,159,194,14,10,4
1/2022,320,135,186,49,18,30
2/2022,266,109,156,182,103,79
3/2022,201,89,112,410,226,185
4/2022,217,72,146,338,170,167
5/2022,330,131,199,564,297,268
6/2022,324,112,210,615,336,279
7/2022,317,110,209,532,298,233
8/2022,353,146,207,467,282,185
