date,1.8.0,1.8.1,1.8.2,2.8.0,2.8.1,2.8.2
3/2021,5632,2773,2859,2588,1477,1110
4/2021,5858,2861,2997,2942,1675,1266
5/2021,6144,2963,3181,3403,1934,1469
6/2021,6449,3076,3372,3979,2251,1728
7/2021,6825,3213,3607,4486,2546,1940
8/2021,7158,3371,3786,4848,2730,2118
9/2021,7501,3510,3990,5177,2914,2263
10/2021,7740,3601,4139,5449,3038,2411
11/2021,8030,3723,4307,5520,3074,2446
12/2021,8384,3882,4501,5534,3084,2450
1/2022,8704,4017,4687,5583,3102,2480
2/2022,8970,4126,4843,5765,3205,2559
3/2022,9171,4215,4955,6175,3431,2744
4/2022,9388,4287,5101,6513,3601,2911
5/2022,9718,4418,5300,7077,3898,3179
6/2022,10042,4530,5510,7692,4234,3458
7/2022,10359,4640,5719,8224,4532,3691
8/2022,10712,4786,5926,8691,4814,3876
